City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Butaritari,KI,83.3,3.0707,172.7902,Isles Sunset Lodge
3,Charleston,US,84.22,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
4,Saskylakh,RU,83.77,71.9167,114.0833,
6,Luleburgaz,TR,88.97,41.4039,27.3592,alparslan rant a car
11,Atuona,PF,77.32,-9.8,-139.0333,Villa Enata
15,Puerto Ayora,EC,70.56,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,East London,ZA,79.74,-33.0153,27.9116,Tu Casa
17,Rikitea,PF,70.95,-23.1203,-134.9692,People ThankYou
18,Guerrero Negro,MX,71.06,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
26,Hambantota,LK,87.12,6.1241,81.1185,Bungalow 63
29,Vaini,TO,73.56,-21.2,-175.2,Keleti Beach Resort
34,Kapaa,US,80.92,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Teknaf,BD,80.26,20.8624,92.3058,Forestry Guesthouse
42,Asifabad,IN,86.32,19.3667,79.2833,సిడం కైలాష్
44,Khatanga,RU,72.23,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
45,Herat,AF,86.59,34.5,62.0,
46,Marsh Harbour,BS,83.14,26.5412,-77.0636,Abaco Beach Resort
54,San-Pedro,CI,76.28,4.7485,-6.6363,Hotel Maria
55,Souillac,MU,75.58,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Natal,BR,72.25,-5.795,-35.2094,Villa Park Hotel | Natal
59,San Patricio,US,84.07,28.017,-97.5169,"Motel 6 Sinton, TX"
62,Galle,LK,82.65,6.0367,80.217,Amangalla
64,Lodwar,KE,82.87,3.1191,35.5973,Solmar Gracious Hotel
67,Abonnema,NG,80.13,4.7084,6.7931,Corper's Lodge Obonoma
69,Baft,IR,84.56,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
70,Akyab,MM,81.66,20.15,92.9,Hotel Memory
71,Beloha,MG,74.68,-25.1667,45.05,
73,Sao Felix Do Xingu,BR,73.24,-6.6447,-51.995,Rio Xingu Camping
77,Saint George,US,79.63,37.1041,-113.5841,Best Western Plus Abbey Inn
78,Ponta Do Sol,PT,73.0,32.6667,-17.1,Hotel do Campo
80,Georgetown,MY,80.89,5.4112,100.3354,Cititel Penang
85,Shenjiamen,CN,82.09,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
86,Batagay-Alyta,RU,73.65,67.8006,130.4114,
89,Kapoeta,SS,84.18,4.7717,33.5903,Eastgate Hotel
90,Victoria,HK,87.76,22.2855,114.1577,Mini Hotel Central
91,Cheremukhovo,RU,75.85,60.3484,59.9851,
92,Noumea,NC,70.0,-22.2763,166.4572,Hôtel Le Lagon
98,Grand Gaube,MU,75.6,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
100,Spring Hill,US,84.81,28.4769,-82.5255,Room of The world By traveline Plus
102,Kulu,TR,81.93,39.0951,33.0799,Kapadokya Motel
103,The Valley,AI,81.1,18.217,-63.0578,CeBlue Villas & Beach Resort
104,Alice Springs,AU,74.21,-23.7,133.8833,Desert Palms Alice Springs
105,Nuevo Progreso,MX,78.6,23.1667,-97.95,Balneario Rio el Paraiso
107,Hilo,US,74.93,19.7297,-155.09,Hilo Hawaiian Hotel
108,Sembe,CG,77.04,1.6481,14.5806,
110,Shingu,JP,87.91,33.7333,135.9833,Shingu UI Hotel
111,Kourou,GF,76.1,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
112,Binzhou,CN,84.69,37.3667,118.0167,Hampton By Hilton Binzhou
113,Daru,PG,77.22,-9.0763,143.2092,Daru Lodge
114,Suntar,RU,84.58,62.1444,117.6319,Дом у Мамы
121,Saint-Philippe,RE,76.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
123,Maxixe,MZ,72.77,-23.8597,35.3472,Oceano
125,Atar,MR,85.15,20.5169,-13.0499,Oumou Elghoura
126,Port Alfred,ZA,71.98,-33.5906,26.891,The Halyards Hotel
130,Dovers,VC,81.34,12.8833,-61.1833,Ocean Breeze
131,La Palma,US,82.35,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
132,Cayenne,GF,76.08,4.9333,-52.3333,Hôtel Le Dronmi
133,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
134,Kavieng,PG,82.6,-2.5744,150.7967,Nusa Island Retreat
136,Belyy Yar,RU,75.09,53.6039,91.3903,Pasportnyy Stol
137,Roebourne,AU,74.93,-20.7833,117.1333,Latitude20 Roebourne Village
138,Novopokrovka,UA,88.18,49.8425,36.5477,Пудж дом
139,Coahuayana,MX,76.26,18.7333,-103.6833,El rranchito michuacan de ocampos
140,Hithadhoo,MV,82.24,-0.6,73.0833,Scoop Guest House
145,Sfantu Gheorghe,RO,82.92,45.8667,25.7833,Hotel Park
147,Cabo San Lucas,MX,83.52,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,Sao Filipe,CV,74.53,14.8961,-24.4956,Hotel Xaguate
157,Hami,CN,71.24,42.8,93.45,Laoyutang Resort
158,Salalah,OM,80.69,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
159,Kisangani,CD,78.51,0.5167,25.2,Grand Ramela Hotel
161,Ponta Delgada,PT,72.32,37.7333,-25.6667,Vila Nova Hotel
163,Merauke,ID,80.65,-8.4667,140.3333,
164,Eydhafushi,MV,82.83,5.1033,73.0708,Soneva Fushi
165,Katsuura,JP,86.14,35.1333,140.3,Katsuura Hotel Mikazuki
166,Bambous Virieux,MU,75.45,-20.3428,57.7575,Casa Tia Villa
169,Chernyshevskiy,RU,81.82,63.0128,112.4714,Chernyseyskiy
171,Dzerzhinskoye,RU,72.54,56.8344,95.2283,Kolos
173,Filingue,NE,82.6,14.3521,3.3168,
175,La Asuncion,VE,78.53,11.0333,-63.8628,Colinas de Matasiete
177,Tura,IN,79.65,25.5198,90.2201,Hotel RIKMAN Continental
178,Peleduy,RU,79.75,59.6289,112.7406,Гостиница «Уют»
182,Khilok,RU,74.84,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
183,Asau,RO,85.75,46.4333,26.4,Casa Mika Ciobanus
185,Lorengau,PG,83.12,-2.0226,147.2712,Lorengau Harbourside Hotel
187,Vanavara,RU,80.06,60.34,102.2797,
190,Ribeira Grande,PT,72.0,38.5167,-28.7,Quinta da Meia Eira
191,Chulym,RU,80.24,55.0997,80.9572,"""U Tat'yany"""
194,Palu,ID,83.37,-0.8917,119.8707,Hotel Santika Palu
196,Praia Da Vitoria,PT,72.75,38.7333,-27.0667,Hotel Branco I
198,Caohai,CN,72.77,26.8661,104.2841,Jinhua Hotel
201,Saint-Leu,RE,76.06,-21.15,55.2833,La Caz Oceane
202,Faya,SA,78.91,18.3851,42.4509,املاك خالد الشعشوع
203,Robertson,US,74.07,36.5167,-86.8667,Hampton Inn Springfield
205,Felanitx,ES,75.45,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
210,Anori,BR,70.2,-3.7728,-61.6442,Novo Hotel 05 Irmaos
215,Shwebo,MM,88.7,22.5667,95.7,MOON SHINE Guest House
216,Taunggyi,MM,71.89,20.7833,97.0333,True Treasure Hotel
217,Port Macquarie,AU,73.36,-31.4333,152.9167,Rydges Port Macquarie
218,Sharan,RU,85.42,54.8167,54.0,
219,Kpalime,TG,75.33,6.9,0.6333,Hotel La Lumiere Kpalimé
221,Airai,TL,71.58,-8.9266,125.4092,Juvinal Martin
223,Nador,MA,82.47,35.174,-2.9287,Hôtel La Giralda
224,Portland,US,72.28,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
226,Coruripe,BR,72.88,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
227,Ankazoabo,MG,78.49,-22.2833,44.5167,ENCEIN BUREAU CISCO
228,Malakal,SS,71.6,9.5334,31.6605,Nile Palace Hotel
230,Dzhida,RU,77.13,50.6772,106.1806,
232,Faanui,PF,77.41,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
233,Vila Franca Do Campo,PT,72.01,37.7167,-25.4333,Pestana Bahia Praia
238,Meulaboh,ID,80.33,4.1363,96.1285,Kost Pria
242,Lodja,CD,87.66,-3.4833,23.4333,
243,Liwale,TZ,80.76,-9.7667,37.9333,Samoma lodge
244,Handia,IN,85.87,25.3833,82.1833,Jama Masjid Damgarah
246,Matara,LK,85.14,5.9485,80.5353,Amaloh Boutique Resort
252,Cay,TR,81.95,38.5917,31.0286,Çay Öğretmenevi
253,Almaznyy,RU,87.94,48.0448,40.045,
254,Nago,JP,87.46,26.5881,127.9761,Hotel Yugaf Inn Okinawa
255,Kawalu,ID,76.41,-7.3817,108.2082,KOSAN UNGU UNSIK
256,Maceio,BR,74.64,-9.6658,-35.7353,Poutur Pousada
260,Cairns,AU,76.06,-16.9167,145.7667,Mantra Trilogy Cairns
262,Mahebourg,MU,75.49,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,Richards Bay,ZA,72.68,-28.783,32.0377,BON Hotel Waterfront Richards Bay
264,Carlagan,PH,87.39,14.975,122.0456,Cabatagan Island
266,Vila Velha,BR,70.97,-20.3297,-40.2925,Quality Suites Vila Velha
268,Miles City,US,74.37,46.4083,-105.8406,FairBridge Inn & Suites Miles City
270,Laguna,US,82.24,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
272,Kanniyakumari,IN,86.23,8.0833,77.5667,Sparsa
279,Chichimila,MX,74.16,20.6167,-88.2167,Casa Kiin
283,Sungairaya,ID,87.64,0.7,108.9,Mess P.Milu
284,Saint-Georges,GD,79.97,12.0564,-61.7485,Radisson Grenada Beach Resort
286,Damoh,IN,76.37,23.8333,79.45,"Saansad Niwas, Damoh"
290,Wichita Falls,US,82.42,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
291,Yerbogachen,RU,79.83,61.2767,108.0108,
292,Qarayeri,AZ,85.08,40.7886,46.3066,
294,Zhigansk,RU,81.07,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
297,Manono,CD,82.49,-7.3,27.4167,Hotel hewa bora
301,Thiadiaye,SN,77.81,14.4205,-16.7056,
303,Urumqi,CN,79.75,43.801,87.6005,Hua Ling Grand Hotel Urumqi
304,Lagoa,PT,70.93,39.05,-27.9833,Casa Das Faias
306,Kormilovka,RU,80.35,55.0026,74.1028,"Zhemchuzhina, Baza Otdykha"
307,Kloulklubed,PW,84.09,7.0419,134.2556,Storyboard Beach Resort
310,Padang,ID,86.05,-0.9492,100.3543,Mercure Padang
315,Beni,CD,79.79,0.5,29.4667,Albertine hotel
317,Poum,NC,70.2,-20.2333,164.0167,Gîte kajeon
319,Kuryk,KZ,89.94,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
321,Cao Bang,VN,76.12,22.6667,106.25,khách sạn 88
325,Itatskiy,RU,73.4,56.07,89.0369,
326,Yulara,AU,71.44,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
329,Wajima,JP,84.88,37.4,136.9,Wajiima Onsen Yashio
330,Araouane,ML,89.69,18.9048,-3.5265,
331,Harper,LR,77.25,4.375,-7.7169,Screensaver
332,Saint-Pierre,RE,76.68,-21.3393,55.4781,Lindsey Hôtel
333,Bengkulu,ID,82.53,-3.8004,102.2655,Grage Hotel Bengkulu
334,Olivehurst,US,83.91,39.0955,-121.5522,Comfort Suites Marysville-Yuba City
336,Polunochnoye,RU,75.49,60.8697,60.4153,
338,Magole,TZ,80.29,-6.3667,37.3667,Juma lubelwa
339,Mtimbira,TZ,74.28,-8.7833,36.35,
340,Hedaru,TZ,77.0,-4.5,37.9,Hedaru Palace Hotel
341,Dingle,PH,85.89,10.9995,122.6711,SEGAYA PROPERTY
342,Hasaki,JP,88.29,35.7333,140.8333,Hotel Sunrise Choshi
345,Bathsheba,BB,79.88,13.2167,-59.5167,Atlantis Hotel
353,Poroshkovo,UA,79.02,48.6683,22.7533,Hotelʹ
354,Pustoshka,RU,76.06,56.3355,29.369,Yubileinaya Hotel
356,Virginia Beach,US,77.0,36.8529,-75.978,Hilton Virginia Beach Oceanfront
357,Santa Isabel Do Rio Negro,BR,73.53,-0.4139,-65.0192,Hotel GSA
358,Soyo,AO,73.45,-6.1349,12.3689,Hotel Mpampa
359,Cururupu,BR,75.69,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
