,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Brae,GB,2021-08-01 08:20:42,60.3964,-1.353,51.71,78,35,18.5
1,Ushuaia,AR,2021-08-01 08:21:34,-54.8,-68.3,42.46,65,20,13.8
2,Butaritari,KI,2021-08-01 08:21:44,3.0707,172.7902,83.3,70,23,7.18
3,Charleston,US,2021-08-01 08:20:34,32.7766,-79.9309,84.22,93,75,7.0
4,Saskylakh,RU,2021-08-01 08:21:45,71.9167,114.0833,83.77,24,77,9.82
5,Jamestown,US,2021-08-01 08:21:45,42.097,-79.2353,64.71,91,40,1.01
6,Luleburgaz,TR,2021-08-01 08:21:46,41.4039,27.3592,88.97,33,0,5.32
7,Carnarvon,AU,2021-08-01 08:21:46,-24.8667,113.6333,68.07,61,16,16.11
8,Bluff,NZ,2021-08-01 08:21:46,-46.6,168.3333,44.8,88,46,5.66
9,Husavik,IS,2021-08-01 08:20:09,66.0449,-17.3389,53.51,65,98,4.41
10,Esperance,AU,2021-08-01 08:21:47,-33.8667,121.9,50.95,73,96,22.84
11,Atuona,PF,2021-08-01 08:19:26,-9.8,-139.0333,77.32,64,100,14.05
12,Busselton,AU,2021-08-01 08:21:47,-33.65,115.3333,55.04,57,11,18.34
13,Hermanus,ZA,2021-08-01 08:21:48,-34.4187,19.2345,60.8,79,34,12.33
14,Barrow,US,2021-08-01 08:21:48,71.2906,-156.7887,51.82,84,20,4.61
15,Puerto Ayora,EC,2021-08-01 08:17:56,-0.7393,-90.3518,70.56,90,6,7.0
16,East London,ZA,2021-08-01 08:21:49,-33.0153,27.9116,79.74,13,0,9.22
17,Rikitea,PF,2021-08-01 08:21:49,-23.1203,-134.9692,70.95,71,95,22.84
18,Guerrero Negro,MX,2021-08-01 08:19:51,27.9769,-114.0611,71.06,83,7,9.24
19,Lompoc,US,2021-08-01 08:19:26,34.6391,-120.4579,62.28,89,1,0.0
20,Port Lincoln,AU,2021-08-01 08:21:50,-34.7333,135.8667,55.09,70,6,14.34
21,Albany,US,2021-08-01 08:18:38,42.6001,-73.9662,59.59,87,39,3.13
22,Price,US,2021-08-01 08:21:50,39.5994,-110.8107,65.46,88,75,0.0
23,Clyde River,CA,2021-08-01 08:21:22,70.4692,-68.5914,37.63,100,90,6.91
24,Port Elizabeth,ZA,2021-08-01 08:21:51,-33.918,25.5701,64.09,77,0,18.41
25,Iznoski,RU,2021-08-01 08:21:51,54.9881,35.3108,64.35,88,100,0.98
26,Hambantota,LK,2021-08-01 08:21:19,6.1241,81.1185,87.12,63,100,25.12
