City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ust-Kut,RU,2021-07-30 21:05:24,56.7938,105.7672,56.39,98,28,3.4
1,Emba,KZ,2021-07-30 21:05:24,48.8264,58.1442,78.66,23,7,6.76
2,Hermanus,ZA,2021-07-30 21:05:25,-34.4187,19.2345,53.91,85,1,4.81
3,Andenes,NO,2021-07-30 21:05:25,69.3143,16.1194,49.06,93,75,28.77
4,Hilo,US,2021-07-30 21:05:26,19.7297,-155.09,83.93,64,40,11.5
5,Piacabucu,BR,2021-07-30 20:59:27,-10.4056,-36.4344,73.92,80,0,7.67
6,Albany,US,2021-07-30 20:56:15,42.6001,-73.9662,75.16,53,32,8.99
7,Punta Arenas,CL,2021-07-30 20:55:08,-53.15,-70.9167,39.31,70,20,21.85
8,Mataura,NZ,2021-07-30 20:56:16,-46.1927,168.8643,48.47,99,100,1.68
9,Hithadhoo,MV,2021-07-30 20:56:35,-0.6,73.0833,81.52,75,90,5.46
10,Airai,TL,2021-07-30 20:56:20,-8.9266,125.4092,56.84,71,73,2.46
11,Rikitea,PF,2021-07-30 20:56:07,-23.1203,-134.9692,72.45,71,74,8.7
12,Yellowknife,CA,2021-07-30 20:56:25,62.456,-114.3525,75.72,46,20,10.36
13,Isangel,VU,2021-07-30 20:57:48,-19.55,169.2667,71.71,68,98,14.97
14,Touros,BR,2021-07-30 20:57:55,-5.1989,-35.4608,81.5,76,62,16.6
15,Luderitz,NA,2021-07-30 20:57:36,-26.6481,15.1594,68.25,33,0,5.55
16,Saint-Philippe,RE,2021-07-30 20:56:41,-21.3585,55.7679,67.59,78,66,16.84
17,Arraial Do Cabo,BR,2021-07-30 20:55:52,-22.9661,-42.0278,71.56,55,0,12.66
18,Tuktoyaktuk,CA,2021-07-30 20:56:40,69.4541,-133.0374,64.4,68,75,21.85
19,Mareeba,AU,2021-07-30 20:58:33,-17.0,145.4333,63.32,94,90,3.11
20,Cape Town,ZA,2021-07-30 20:54:04,-33.9258,18.4232,55.27,94,0,2.3
21,Puerto Ayora,EC,2021-07-30 20:54:46,-0.7393,-90.3518,76.96,89,75,7.0
22,Barrow,US,2021-07-30 20:56:23,71.2906,-156.7887,51.82,87,90,9.22
23,Cali,CO,2021-07-30 21:01:57,3.4372,-76.5225,86.32,49,40,6.91
24,Jamestown,US,2021-07-30 20:54:27,42.097,-79.2353,71.1,60,90,7.0
25,Vitoria,BR,2021-07-30 21:01:08,-20.3194,-40.3378,55.85,65,47,11.86
26,Bulungu,CD,2021-07-30 21:05:30,-4.55,18.6,80.65,27,75,1.07
27,San Patricio,US,2021-07-30 20:58:30,28.017,-97.5169,97.52,48,86,7.72
28,Najran,SA,2021-07-30 21:05:31,17.4924,44.1277,87.26,30,88,9.82
29,Uyuni,BO,2021-07-30 21:05:32,-20.4597,-66.825,47.07,29,99,9.55
30,Busselton,AU,2021-07-30 20:56:08,-33.65,115.3333,42.08,76,98,14.41
31,Kulhudhuffushi,MV,2021-07-30 21:05:33,6.6221,73.07,81.91,77,62,10.27
32,Ushuaia,AR,2021-07-30 20:56:17,-54.8,-68.3,38.82,81,75,19.57
33,Longyearbyen,SJ,2021-07-30 20:58:02,78.2186,15.6401,39.04,75,75,16.11
34,Tlanchinol,MX,2021-07-30 20:59:35,20.9833,-98.65,68.5,85,100,4.18
35,Ulladulla,AU,2021-07-30 21:02:53,-35.35,150.4667,50.88,35,97,5.61
36,Sakakah,SA,2021-07-30 20:59:45,29.9697,40.2064,89.17,14,0,10.27
37,Ilulissat,GL,2021-07-30 20:56:41,69.2167,-51.1,50.61,61,55,7.11
38,Mar Del Plata,AR,2021-07-30 20:56:30,-38.0023,-57.5575,57.99,46,0,1.01
39,Victoria,HK,2021-07-30 20:56:40,22.2855,114.1577,84.38,91,97,3.0
40,Maniitsoq,GL,2021-07-30 21:05:35,65.4167,-52.9,50.49,76,86,5.41
41,Carnarvon,AU,2021-07-30 20:57:27,-24.8667,113.6333,60.87,63,40,17.27
42,Yulara,AU,2021-07-30 20:56:54,-25.2406,130.9889,51.64,62,0,5.75
43,Kavieng,PG,2021-07-30 20:56:19,-2.5744,150.7967,81.39,79,56,7.49
44,Daru,PG,2021-07-30 21:05:37,-9.0763,143.2092,76.87,90,100,12.88
45,Pisco,PE,2021-07-30 20:58:15,-13.7,-76.2167,66.25,68,20,16.11
46,Qaanaaq,GL,2021-07-30 20:58:20,77.484,-69.3632,42.08,89,100,6.11
47,Chuy,UY,2021-07-30 20:58:26,-33.6971,-53.4616,46.74,74,0,5.79
48,Athabasca,CA,2021-07-30 21:04:21,54.7169,-113.2854,86.56,22,2,3.76
49,Chokurdakh,RU,2021-07-30 20:56:33,70.6333,147.9167,54.59,51,100,12.46
50,Butaritari,KI,2021-07-30 20:56:46,3.0707,172.7902,81.46,74,93,4.79
51,Clarence Town,AU,2021-07-30 21:05:38,-32.5833,151.7833,49.86,62,0,2.75
52,Avarua,CK,2021-07-30 20:56:32,-21.2078,-159.775,75.25,69,20,10.36
53,Kendari,ID,2021-07-30 21:05:39,-3.945,122.4989,73.36,95,99,3.4
54,Nurota,UZ,2021-07-30 21:05:40,40.5614,65.6886,75.29,27,33,12.5
55,Teya,RU,2021-07-30 20:58:52,60.3778,92.6267,54.86,82,100,3.02
56,Portland,US,2021-07-30 20:58:13,45.5234,-122.6762,99.9,34,11,4.0
57,Atuona,PF,2021-07-30 20:56:20,-9.8,-139.0333,77.31,76,42,17.98
58,Hasaki,JP,2021-07-30 21:02:10,35.7333,140.8333,73.8,83,0,10.33
59,Upernavik,GL,2021-07-30 20:56:56,72.7868,-56.1549,41.77,82,80,14.41
60,Thinadhoo,MV,2021-07-30 20:59:23,0.5333,72.9333,81.64,74,83,3.15
61,Comodoro Rivadavia,AR,2021-07-30 21:04:43,-45.8667,-67.5,51.66,28,40,24.16
62,Lata,PT,2021-07-30 21:05:42,40.1629,-8.3327,63.91,94,3,5.06
63,Cayenne,GF,2021-07-30 20:56:26,4.9333,-52.3333,86.04,77,75,5.01
64,Awbari,LY,2021-07-30 20:56:08,26.5921,12.7805,87.37,16,0,6.82
65,East London,ZA,2021-07-30 20:56:53,-33.0153,27.9116,59.14,69,9,4.88
66,Nha Trang,VN,2021-07-30 21:01:59,12.25,109.1833,82.4,75,98,4.72
67,Saint-Augustin,CA,2021-07-30 20:58:26,51.226,-58.6502,62.4,66,100,20.65
68,Shumskiy,RU,2021-07-30 21:05:45,54.8318,99.1328,51.8,90,75,1.32
69,Sao Geraldo Do Araguaia,BR,2021-07-30 21:05:45,-6.4006,-48.555,87.64,27,100,0.87
70,Kailua,US,2021-07-30 21:05:47,21.4022,-157.7394,84.18,65,40,13.8
71,Praia Da Vitoria,PT,2021-07-30 21:05:47,38.7333,-27.0667,75.76,76,10,8.37
72,Caravelas,BR,2021-07-30 20:59:08,-17.7125,-39.2481,68.02,74,100,11.56
73,Lebu,CL,2021-07-30 20:57:23,-37.6167,-73.65,50.54,95,100,9.93
